potěr,fry [fraɪ]
společensky,socially [ˈsoʊ.ʃəl.i]
lázně,spa [spɑː]
špice,spike [spaɪk]
sprint,sprint [sprɪnt]
rozruch,stir [stɝː]
podstatně,substantially [səbˈstæn.ʃəl.i]
předměstí,suburb [ˈsʌb.ɝːb]
nádherný,superb [suːˈpɝːb]
údajně,supposedly [səˈpoʊ.zɪd.li]
Tab,tab [tæb]
tendence,tendency [ˈten.dən.si]
jejich,theirs [ðerz]
toast,toast [toʊst]
přistání,touchdown [ˈtʌtʃ.daʊn]
vlastnost,trait [treɪt]
triumf,triumph [ˈtraɪ.əmf]
spodní prádlo,underwear [ˈʌn.dɚ.wer]
životaschopný,viable [ˈvaɪ.ə.bəl]
pás,waist [weɪst]
vtip,wit [wɪt]
vrak,wreck [rek]
absurdní,absurd [əbˈsɝːd]
příslušenství,accessory [əkˈses.ər.i]
ambiciózní,ambitious [æmˈbɪʃ.əs]
uprostřed,amid [əˈmɪd]
balet,ballet [bælˈeɪ]
vyjednávat,bargain [ˈbɑːr.ɡɪn]
binární,binary [ˈbaɪ.ner.i]
směs,blend [blend]
brzda,brake [breɪk]
podnikatel,businessman [ˈbɪz.nɪs.mən]
kabina,cab [kæb]
kolize,collision [kəˈlɪʒ.ən]
soucit,compassion [kəmˈpæʃ.ən]
konzumovat,consume [kənˈsuːm]
oprava,correction [kəˈrek.ʃən]
kašel,cough [kɑːf]
sklad,depot [ˈdiː.poʊ]
nouze,distress [dɪˈstres]
dokumentace,documentation [ˌdɑː.kjə.menˈteɪ.ʃən]
dramaticky,dramatically [drəˈmæt̬.ɪ.kəl.i]
elegantní,elegant [ˈel.ə.ɡənt]
výtah,elevator [ˈel.ə.veɪ.t̬ɚ]
svátek,feast [fiːst]
Finsko,finland [ˈfɪn.lənd]
mráz,frost [frɑːst]
ohlašovat,herald [ˈher.əld]
trampovat,hike [haɪk]
dutý,hollow [ˈhɑː.loʊ]
vlast,homeland [ˈhoʊm.lænd]
mezinárodně,internationally [ˌɪn.t̬ɚˈnæʃ.ən.əl.i]
chromý,lame [leɪm]
lilie,lily [ˈlɪl.i]
skříňka,locker [ˈlɑː.kɚ]
rozjímání,meditation [ˌmed.əˈteɪ.ʃən]
posel,messenger [ˈmes.ɪn.dʒɚ]
tužka,pencil [ˈpen.səl]
filozofický,philosophical [ˌfɪl.əˈsɑː.fɪ.kəl]
plazma,plasma [ˈplæz.mə]
prosba,plea [pliː]
peněženka,purse [pɝːs]
quarterback,quarterback [ˈkwɔːr.t̬ɚ.bæk]
zmírnit,relieve [rɪˈliːv]
spása,salvation [sælˈveɪ.ʃən]
sankce,sanction [ˈsæŋk.ʃən]
světský,secular [ˈsek.jə.lɚ]
citlivost,sensitivity [ˌsen.səˈtɪv.ə.t̬i]
povzdech,sigh [saɪ]
šestnáct,sixteen [ˌsɪkˈstiːn]
suverénní,sovereign [ˈsɑːv.rən]
specifikace,specification [ˌspes.ə.fəˈkeɪ.ʃən]
manžel,spouse [spaʊs]
Vedoucí,supervisor [ˈsuː.pɚ.vaɪ.zɚ]
syntetický,synthetic [sɪnˈθet̬.ɪk]
čas,tense [tens]
děsivé,terrifying [ˈter.ə.faɪ.ɪŋ]
obchodník,trader [ˈtreɪ.dɚ]
divočina,wilderness [ˈwɪl.dɚ.nəs]
poradce,adviser [ədˈvaɪ.zɚ]
agregát,aggregate [ˈæɡ.rə.ɡət]
anální,anal [ˈeɪ.nəl]
anatomie,anatomy [əˈnæt̬.ə.mi]
žadatel,applicant [ˈæp.lə.kənt]
automobil,automobile [ˈɑː.t̬ə.moʊ.biːl]
cement,cement [səˈment]
kompozitní,composite [kəmˈpɑː.zɪt]
v důsledku toho,consequently [ˈkɑːn.sə.kwənt.li]
kormidelník,cox [kɑːks]
vyzdobit,decorate [ˈdek.ər.eɪt]
delegát,delegate [ˈdel.ə.ɡət]
nudný,dull [dʌl]
jízdné,fare [fer]
generátor,generator [ˈdʒen.ər.eɪ.t̬ɚ]
mletí,grind [ɡraɪnd]
háj,grove [ɡroʊv]
guma,gum [ɡʌm]
hobby,hobby [ˈhɑː.bi]
modla,idol [ˈaɪ.dəl]
iluze,illusion [ɪˈluː.ʒən]
nesprávný,incorrect [ˌɪn.kəˈrekt]
spojení,junction [ˈdʒʌŋk.ʃən]
Lance,lance [læns]
skok,leap [liːp]
lynčovat,lynch [lɪntʃ]
modelování,modeling [ˈmɑː.dəl.ɪŋ]
motiv,motive [ˈmoʊ.t̬ɪv]
optimální,optimal [ˈɑːp.tə.məl]
přesčas,overtime [ˈoʊ.vɚ.taɪm]
poštovní,postal [ˈpoʊ.stəl]
přípravka,prep [prep]
hluboký,profound [prəˈfaʊnd]
příjemce,recipient [rɪˈsɪp.i.ənt]
vrácení peněz,refund [ˈriː.fʌnd]
riskantní,risky [ˈrɪs.ki]
robustní,robust [roʊˈbʌst]
podvod,scam [skæm]
simulace,simulation [ˌsɪm.jəˈleɪ.ʃən]
střízlivý,sober [ˈsoʊ.bɚ]
koření,spice [spaɪs]
sevření,squeeze [skwiːz]
dozor,supervision [ˌsuː.pɚˈvɪʒ.ən]
swap,swap [swɑːp]
terén,terrain [təˈreɪn]
vyděsit,terrify [ˈter.ə.faɪ]
vzrušení,thrill [θrɪl]
ručník,towel [taʊəl]
trio,trio [ˈtriː.oʊ]
v bezvědomí,unconscious [ʌnˈkɑːn.ʃəs]
ověřit,verify [ˈver.ə.faɪ]
ctnost,virtue [ˈvɝː.tʃuː]
Zombie,zombie [ˈzɑːm.bi]
vzniknout,arise [əˈraɪz]
automobilový průmysl,automotive [ˌɑː.t̬əˈmoʊ.t̬ɪv]
bojiště,battlefield [ˈbæt̬.əl.fiːld]
květ,bloom [bluːm]
otvor,bore [bɔːr]
svazek,bundle [ˈbʌn.dəl]
motýl,butterfly [ˈbʌt̬.ɚ.flaɪ]
oběť,casualty [ˈkæʒ.uː.əl.ti]
klaun,clown [klaʊn]
spojení,conjunction [kənˈdʒʌŋk.tʃɚ]
nákladné,costly [ˈkɑːst.li]
klesání,descent [dɪˈsent]
vytočit,dial [ˈdaɪ.əl]
adresář,directory [dɪˈrek.tɚ.i]
splnit,discharge [dɪsˈtʃɑːrdʒ]
vyhnout se,dodge [dɑːdʒ]
vrtání,drilling [drɪl]
odstranění,elimination [iˌlɪm.əˈneɪ.ʃən]
zázvor,ginger [ˈdʒɪn.dʒɚ]
cech,guild [ɡɪld]
zastavit,halt [hɑːlt]
Han,han [hæn]
neschopnost,inability [ˌɪn.əˈbɪl.ə.t̬i]
přicházející,incoming [ˈɪnˌkʌm.ɪŋ]
Jar,jar [dʒɑːr]
soudní spory,litigation [ˌlɪt̬.əˈɡeɪ.ʃən]
učitel,mentor [ˈmen.tɔːr]
zboží,merchandise [ˈmɝː.tʃən.daɪs]
norma,norm [nɔːrm]
urazit,offend [əˈfend]
ortodoxní,orthodox [ˈɔːr.θə.dɑːks]
režijní,overhead [ˈoʊ.vɚ.hed]
malíř,painter [ˈpeɪn.t̬ɚ]
prorazit,pierce [pɪrs]
pistole,pistol [ˈpɪs.təl]
tiskárna,printer [ˈprɪn.t̬ɚ]
náchylný,prone [proʊn]
nájezdník,raider [ˈreɪ.dɚ]
snadno,readily [ˈred.əl.i]
regiment,regiment [ˈredʒ.ə.mənt]
shledání,reunion [ˌriːˈjuː.njən]
obrození,revival [rɪˈvaɪ.vəl]
svatyně,sanctuary [ˈsæŋk.tʃu.er.i]
Satan,satan [ˈseɪ.tən]
senzor,sensor [ˈsen.sɚ]
obležení,siege [siːdʒ]
šedesát,sixty [ˈsɪk.sti]
rukáv,sleeve [sliːv]
zvukový,sonic [ˈsɑː.nɪk]
páteř,spine [spaɪn]
řízení,steering [stɪr]
udržovat,sustain [səˈsteɪn]
držba,tenure [ˈten.jɚ]
textura,texture [ˈteks.tʃɚ]
vděčný,thankful [ˈθæŋk.fəl]
pokladník,treasurer [ˈtreʒ.ɚ.ɚ]
trojúhelník,triangle [ˈtraɪ.æŋ.ɡəl]
nejasný,unclear [ʌnˈklɪr]
Čaroděj,wizard [ˈwɪz.ɚd]
absorbovat,absorb [əbˈsɔːrb]
náklonnost,affection [əˈfek.ʃən]
letoun,airplane [ˈer.pleɪn]
nadmořská výška,altitude [ˈæl.tə.tuːd]
upéct,bake [beɪk]
krásně,beautifully [ˈbjuː.t̬ə.fəl.i]
vypískat,boo [buː]
kompetentní,competent [ˈkɑːm.pə.t̬ənt]
venkov,countryside [ˈkʌn.tri.saɪd]
jeřáb,crane [kreɪn]
trosky,debris [dəˈbriː]
delegace,delegation [ˌdel.əˈɡeɪ.ʃən]
demografický,demographic [ˌdem.əˈɡræf.ɪk]
dárce,donor [ˈdoʊ.nɚ]
zapsat,enrol [ɪnˈroʊl]
překročit,exceed [ɪkˈsiːd]
vyloučit,exclude [ɪksˈkluːd]
divoký,fierce [fɪrs]
kroupy,hail [heɪl]
heroin,heroin [ˈher.oʊ.ɪn]
ilustrace,illustration [ˌɪl.əˈstreɪ.ʃən]
indikátor,indicator [ˈɪn.də.keɪ.t̬ɚ]
nerovnost,inequality [ˌɪn.ɪˈkwɑː.lə.t̬i]
interpretovat,interpret [-ˈtɝː-]
volný čas,leisure [ˈliː.ʒɚ]
půjčovat,lend [lend]
Lounge,lounge [laʊndʒ]
naštěstí,luckily [ˈlʌk.əl.i]
rukopis,manuscript [ˈmæn.jə.skrɪpt]
máta,mint [mɪnt]
oznámení,notification [ˌnoʊ.t̬ə.fəˈkeɪ.ʃən]
Nova,nova [ˈnoʊ.və]
obrys,outline [ˈaʊt.laɪn]
pi,pi [paɪ]
zdvořilý,polite [pəˈlaɪt]
chlípný,randy [ˈræn.di]
příjem,receipt [rɪˈsiːt]
spolehlivost,reliability [rɪˌlaɪ.əˈbɪl.ə.t̬i]
maloobchodník,retailer [ˈriː.teɪ.lɚ]
přistávací dráha,runway [ˈrʌn.weɪ]
sochařství,sculpture [ˈskʌlp.tʃɚ]
vitrína,showcase [ˈʃoʊ.keɪs]
pomocný,subsidiary [səbˈsɪd.i.er.i]
desátý,tenth [tenθ]
teologie,theology [θiˈɑː.lə.dʒi]
pod vodou,underwater [ˌʌn.dɚˈwɑː.t̬ɚ]
rychlost,velocity [vəˈlɑː.sə.t̬i]
vosk,wax [wæks]
odpovědnost,accountability [əˌkaʊn.t̬əˈbɪl.ə.t̬i]
letecký,aerial [ˈer.i.əl]
i když,albeit [ɑːlˈbiː.ɪt]
alkoholik,alcoholic [ˌæl.kəˈhɑː.lɪk]
ohromen,amazed [əˈmeɪzd]
ctižádost,ambition [æmˈbɪʃ.ən]
munice,ammunition [-oʊ]
hymna,anthem [ˈæn.θəm]
dávka,batch [bætʃ]
katalog,catalogue [ˈkæt̬.əl.ɑːɡ]
charitativní,charitable [ˈtʃer.ə.t̬ə.bəl]
kolektor,collector [kəˈlek.tɚ]
kompliment,compliment [ˈkɑːm.plə.mənt]
neustále,continually [kənˈtɪn.ju.ə.li]
nasazení,deployment [dɪˈplɔɪ.mənt]
příjemný,enjoyable [ɪnˈdʒɔɪ.ə.bəl]
exotický,exotic [ɪɡˈzɑː.t̬ɪk]
vnější,exterior [ɪkˈstɪr.i.ɚ]
ženský,feminine [ˈfem.ə.nɪn]
zuřivost,fury [ˈfjʊr.i]
genocida,genocide [ˈdʒen.ə.saɪd]
pohled,glance [ɡlæns]
záře,glow [ɡloʊ]
seno,hay [heɪ]
humanitární,humanitarian [hjuːˌmæn.ɪˈter.i.ən]
imunita,immunity [ɪˈmjuː.nə.t̬i]
zdědit,inherit [ɪnˈher.ɪt]
osvobození,liberation [ˌlɪb.əˈreɪ.ʃən]
pravděpodobnost,likelihood [ˈlaɪ.kli.hʊd]
osamělý,lone [loʊn]
masakr,massacre [ˈmæs.ə.kɚ]
nacionalista,nationalist [ˈnæʃ.ən.əl.ɪst]
nutnost,necessity [nəˈses.ə.t̬i]
přezdívka,nickname [ˈnɪk.neɪm]
pozorovatel,observer [əbˈzɝː.vɚ]
offshore,offshore [ˌɑːfˈʃɔːr]
volitelný,optional [ˈɑːp.ʃən.əl]
tatínek,papa [ˈpɑː.pə]
pasta,paste [peɪst]
průkopník,pioneer [ˌpaɪəˈnɪr]
náměstí,plaza [ˈplæz.ə]
předepsat,prescribe [prɪˈskraɪb]
prosperita,prosperity [prɑːˈsper.ə.t̬i]
rekreační,recreational [ˌrek.riˈeɪ.ʃən.əl]
útočiště,refuge [ˈref.juːdʒ]
obnovitelné,renewable [rɪˈnuː.ə.bəl]
pytel,sack [sæk]
nedostatek,shortage [ˈʃɔːr.t̬ɪdʒ]
koule,sphere [sfɪr]
předměstský,suburban [səˈbɝː.bən]
dodavatel,supplier [səˈplaɪ.ɚ]
strašně,terribly [ˈter.ə.bli]
územní,territorial [ˌter.əˈtɔːr.i.əl]
Thriller,thriller [ˈθrɪl.ɚ]
hodit,toss [tɑːs]
želva,turtle [ˈtɝː.t̬əl]
slovní,verbal [ˈvɝː.bəl]
porušit,violate [ˈvaɪ.ə.leɪt]
vlna,wool [wʊl]
odpovědný,accountable [əˈkaʊn.t̬ə.bəl]
obhajoba,advocacy [ˈæd.və.kə.si]
následky,aftermath [ˈæf.tɚ.mæθ]
agrese,aggression [əˈɡreʃ.ən]
analyzovat,analyze [ˈæn.əl.aɪz]
balón,balloon [bəˈluːn]
otupit,blunt [blʌnt]
trdlo,boob [buːb]
brigáda,brigade [brɪˈɡeɪd]
pohřbení,burial [ˈber.i.əl]
kardinál,cardinal [ˈkɑːr.dɪ.nəl]
sbor,chorus [ˈkɔːr.əs]
Chrome,chrome [kroʊm]
jasnost,clarity [ˈkler.ə.t̬i]
Důvěrné,confidential [ˌkɑːn.fəˈden.ʃəl]
uvážení,discretion [dɪˈskreʃ.ən]
příkop,ditch [dɪtʃ]
kupole,dome [doʊm]
drogový,dope [doʊp]
sucho,drought [draʊt]
nadmořská výška,elevation [ˌel.əˈveɪ.ʃən]
úcta,esteem [ɪˈstiːm]
Fe,fe [aɪrn]
mlha,fog [fɑːɡ]
gesto,gesture [ˈdʒes.tʃɚ]
Bože,gosh [ɡɑːʃ]
historik,historian [hɪˈstɔːr.i.ən]
horizontální,horizontal [ˌhɔːr.ɪˈzɑːn.t̬əl]
pohostinství,hospitality [ˌhɑː.spɪˈtæl.ə.t̬i]
rukojmí,hostage [ˈhɑː.stɪdʒ]
jednotlivě,individually [ˌɪn.dəˈvɪdʒ.u.ə.li]
chlapec,lad [læd]
Výpis,listing [ˈlɪs.tɪŋ]
gramotnost,literacy [ˈlɪt̬.ɚ.ə.si]
migrant,migrant [ˈmaɪ.ɡrənt]
uvést v omyl,mislead [ˌmɪsˈliːd]
vlhkost,moisture [ˈmɔɪs.tʃɚ]
památka,monument [ˈmɑːn.jə.mənt]
úmrtnost,mortality [mɔːrˈtæl.ə.t̬i]
posedlost,obsession [əbˈseʃ.ən]
OPT,opt [ɑːpt]
arašíd,peanut [ˈpiː.nʌt]
trvalé,persistent [pɚˈsɪs.tənt]
ropa,petroleum [pəˈtroʊ.li.əm]
Farmaceutický,pharmaceutical [ˌfɑːr.məˈsuː.t̬ɪ.kəl]
postup,progression [prəˈɡreʃ.ən]
nosič,rack [ræk]
obnovit,rebuild [ˌriːˈbɪld]
záznam,recording [rɪˈkɔːr.dɪŋ]
odmítnutí,rejection [rɪˈdʒek.ʃən]
nádrž,reservoir [ˈrez.ɚ.vwɑːr]
šrot,scrap [skræp]
pocit,sensation [senˈseɪ.ʃən]
Hřídel,shaft [ʃæft]
pastýř,shepherd [ˈʃep.ɚd]
snack,snack [snæk]
reflektor,spotlight [ˈspɑːt.laɪt]
bodnout,stab [stæb]
záď,stern [stɝːn]
tuhý,stiff [stɪf]
útočník,striker [ˈstraɪ.kɚ]
úžasný,terrific [təˈrɪf.ɪk]
rajče,tomato [təˈmeɪ.t̬oʊ]
Tory,tory [ˈtɔːr.i]
průhlednost,transparency [trænˈsper.ən.si]
Trojice,trinity [ˈtrɪn.ə.t̬i]
nezaměstnaní,unemployed [ˌʌn.ɪmˈplɔɪd]
sjednotit,unite [juːˈnaɪt]
odemknout,unlock [ʌnˈlɑːk]
klenba,vault [vɑːlt]
veterinář,vet [vet]
vůz,wagon [ˈwæɡ.ən]
nepříznivý,adverse [ædˈvɝːs]
Alumnus,alumnus [əˈlʌm.nəs]
chvíli,awhile [əˈwaɪl]
ano,aye [aɪ]
bastard,bastard [Výskyt nenalezen]
životopis,biography [baɪˈɑː.ɡrə.fi]
makléř,broker [ˈbroʊ.kɚ]
prohlížeč,browser [ˈbraʊ.zɚ]
buněčný,cellular [ˈsel.jə.lɚ]
koktejl,cocktail [ˈkɑːk.teɪl]
treska,cod [kɑːd]
mládě,cub [kʌb]
destruktivní,destructive [dɪˈstrʌk.tɪv]
nechuť,dislike [dɪˈslaɪk]
rozloučení,farewell [ˌferˈwel]
pěst,fist [fɪst]
pošetilý,foolish [ˈfuː.lɪʃ]
žába,frog [frɑːɡ]
jestřáb,hawk [hɑːk]
dědic,heir [er]
holocaust,holocaust [ˈhɑː.lə.kɑːst]
odnětí svobody,imprisonment [ɪmˈprɪz.ən.mənt]
pronajímatel,landlord [ˈlænd.lɔːrd]
mezník,landmark [ˈlænd.mɑːrk]
odpovědný,liable [ˈlaɪ.ə.bəl]
uprostřed,midst [mɪdst]
bída,misery [ˈmɪz.ɚ.i]
modul,module [ˈmɑː.dʒuːl]
Maminka,mommy [ˈmɑː.mi]
mešita,mosque [mɑːsk]
cibule,onion [ˈʌn.jən]
mor,plague [pleɪɡ]
pozitivně,positively [ˈpɑː.zə.t̬ɪv.li]
darebák,rogue [roʊɡ]
ostře,sharply [ˈʃɑːrp.li]
upřímně,sincerely [sɪnˈsɪr.li]
solidarita,solidarity [ˌsɑː.lɪˈder.ə.t̬i]
nadpřirozený,supernatural [ˌsuː.pɚˈnætʃ.ɚ.əl]
třináct,thirteen [θɝːˈtiːn]
hrobka,tomb [tuːm]
turné,touring [ˈtʊr.ɪŋ]
oříznout,trim [trɪm]
deštník,umbrella [ʌmˈbrel.ə]
cesta,voyage [ˈvɔɪ.ɪdʒ]
opatství,abbey [ˈæb.i]
nastavení,adjustment [əˈdʒʌst.mənt]
příloha,attachment [əˈtætʃ.mənt]
baron,baron [ˈber.ən]
Blah,blah [blɑː]
bombardér,bomber [ˈbɑː.mɚ]
králíček,bunny [ˈbʌn.i]
svíčka,candle [ˈkæn.dəl]
vyřezávat,carve [kɑːrv]
pěvecký sbor,choir [ˈkwaɪ.ɚ]
spojka,clutch [klʌtʃ]
kokos,coconut [ˈkoʊ.kə.nʌt]
obsahovat,comprise [kəmˈpraɪz]
zpověď,confession [kənˈfeʃ.ən]
koridor,corridor [ˈkɔːr.ə.dɚ]
důvěryhodnost,credibility [ˌkred.əˈbɪl.ə.t̬i]
kriticky,critically [ˈkrɪt̬.ɪ.kəl.i]
rozptýlit,distract [dɪˈstrækt]
delfín,dolphin [ˈdɑːl.fɪn]
čtrnáct,fourteen [ˌfɔːrˈtiːn]
geometrie,geometry [dʒiˈɑː.mə.tri]
drby,gossip [ˈɡɑː.səp]
prarodič,grandparent [ˈɡræn.per.ənt]
dopravovat,haul [hɑːl]
záhlaví,header [ˈhed.ɚ]
cesmína,holly [ˈhɑː.li]
obrovský,immense [ɪˈmens]
zasahovat,interfere [ˌɪn.t̬ɚˈfɪr]
průsečík,intersection [ˌɪn.t̬ɚˈsek.ʃən]
vyšetřovatel,investigator [ɪnˈves.tə.ɡeɪ.t̬ɚ]
mladistvý,juvenile [ˈdʒuː.və.nəl]
Karma,karma [ˈkɑːr.mə]
vliv,leverage [ˈlev.ɚ.ɪdʒ]
Manila,manila [məˈnɪl.ə]
metrický,metric [ˈmet.rɪk]
milice,militia [məˈlɪʃ.ə]
uzel,node [noʊd]
otvírák,opener [ˈoʊ.pən.ɚ]
umělec,performer [pɚˈfɔːr.mɚ]
zbytečné,pointless [ˈpɔɪnt.ləs]
výzva,prompt [prɑːmpt]
blízkost,proximity [prɑːkˈsɪm.ə.t̬i]
kvalifikace,qualification [ˌkwɑː.lə.fəˈkeɪ.ʃən]
vykreslení,render [ˈren.dɚ]
obrácený,reversed [rɪˈvɝːs]
smutek,sadness [ˈsæd.nəs]
selektivní,selective [səˈlek.t̬ɪv]
lesklý,shiny [ˈʃaɪ.ni]
socialismus,socialism [ˈsoʊ.ʃəl.ɪ.zəm]
kyselý,sour [saʊr]
lžíce,spoon [spuːn]
stresující,stressful [ˈstres.fəl]
nájemce,tenant [ˈten.ənt]
terasa,terrace [ˈter.əs]
zloděj,thief [θiːf]
tribunál,tribunal [traɪˈbjuː.nəl]
nepochybně,undoubtedly [ʌnˈdaʊ.t̬ɪd.li]
darebák,villain [ˈvɪl.ən]
pískat,whistle [ˈwɪs.əl]
roční,yearly [ˈjɪr.li]
zneužívající,abusive [əˈbjuː.sɪv]
alej,alley [ˈæl.i.weɪ]
chuť,appetite [ˈæp.ə.taɪt]
Billboard,billboard [ˈbɪl.bɔːrd]
výpočet,calculation [ˌkæl.kjəˈleɪ.ʃən]
otěhotnět,conceive [kənˈsiːv]
konzultovat,consult [kənˈsʌlt]
zatracený,damned [dæmd]
rozpustit,dissolve [dɪˈzɑːlv]
rozlišovat,distinguish [dɪˈstɪŋ.ɡwɪʃ]
dynastie,dynasty [ˈdaɪ.nə.sti]
ekonom,economist [iˈkɑː.nə.mɪst]
podpořit,endorse [ɪnˈdɔːrs]
rozsáhle,extensively [ɪkˈsten.sɪv.li]
čelo,forehead [ˈfɑː.rɪd]
cizinec,foreigner [ˈfɔːr.ə.nɚ]
odpuštění,forgiveness [fɚˈɡɪv.nəs]
klenot,gem [dʒem]
rokle,glen [ɡlen]
strašit,haunt [hɑːnt]
vřes,heather [ˈheð.ɚ]
hypotéza,hypothesis [haɪˈpɑː.θə.sɪs]
nelegálně,illegally [ɪˈliː.ɡəl.i]
sklon,incline [ɪnˈklaɪn]
bažina,marsh [mɑːrʃ]
maršál,marshal [ˈmɑːr.ʃəl]
splatnost,maturity [məˈtʃʊr.ə.t̬i]
chaotický,messy [ˈmes.i]
optimistický,optimistic [ˌɑːp.təˈmɪs.t̬ɪk]
sova,owl [aʊl]
LÉKÁRNA,pharmacy [ˈfɑːr.mə.si]
problematický,problematic [ˌprɑː.bləˈmæt̬.ɪk]
procesor,processor [ˈprɑː.ses.ɚ]
propagační,promotional [prəˈmoʊ.ʃən.əl]
budoucí,prospective [prəˈspek.tɪv]
Psychiatric,psychiatric [ˌsaɪ.kiˈæt.rɪk]
renesance,renaissance [ˈren.ə.sɑːns]
zrušení,repeal [rɪˈpiːl]
pečeně,roast [roʊst]
odpadky,rubbish [ˈrʌb.ɪʃ]
sága,saga [ˈsɑː.ɡə]
salon,salon [səˈlɑːn]
sedmnáct,seventeen [ˌsev.ənˈtiːn]
sodík,sodium [ˈsoʊ.di.əm]
přebytek,surplus [ˈsɝː.pləs]
polykat,swallow [ˈswɑː.loʊ]
systematický,systematic [ˌsɪs.təˈmæt̬.ɪk]
přenos,transmit [trænsˈmɪt]
nepřijatelný,unacceptable [ˌʌn.əkˈsep.t̬ə.bəl]
nevědomý,unaware [ˌʌn.əˈwer]
neobvyklé,uncommon [ʌnˈkɑː.mən]
Probíhá,underway [ˌʌn.dɚˈweɪ]
nestabilní,unstable [ʌnˈsteɪ.bəl]
nahoru,upstairs [ʌpˈsterz]
vágní,vague [ˈveɪɡ.li]
Wee,wee [wiː]
Woo,woo [wuː]
zip,zip [zɪp]
hojnost,abundance [əˈbʌn.dəns]
mravenec,ant [ænt]
starožitnost,antique [ænˈtiːk]
autonomie,autonomy [ɑːˈtɑː.nə.mi]
behaviorální,behavioral [bɪˈheɪ.vjɚ.əl]
rezervace,booking [ˈbʊk.ɪŋ]
vánek,breeze [briːz]
karneval,carnival [ˈkɑːr.nə.vəl]
zboží,commodity [kəˈmɑː.də.t̬i]
Kongresman,congressman [ˈkɑːŋ.ɡres.mən]
korál,coral [ˈkɔːr.əl]
korelace,correlation [ˌkɔːr.əˈleɪ.ʃən]
korespondent,correspondent [ˌkɔːr.əˈspɑːn.dənt]
kupón,coupon [ˈkuː.pɑːn]
závěs,curtain [ˈkɝː.tən]
zubař,dentist [ˈden.t̬ɪst]
Dodger,dodger [ˈdɑː.dʒɚ]
těsto,dough [doʊ]
obálka,envelope [ˈɑːn.və.loʊp]
vyblednout,fade [feɪd]
únava,fatigue [fəˈtiːɡ]
přátelství,fellowship [ˈfel.oʊ.ʃɪp]
smyšlený,fictional [ˈfɪk.ʃən.əl]
křehký,fragile [ˈfrædʒ.əl]
Fringe,fringe [frɪndʒ]
splnit,fulfill [fʊlˈfɪl]
žula,granite [ˈɡræn.ɪt]
příručka,handbook [ˈhænd.bʊk]
Hardy,hardy [ˈhɑːr.di]
instinkt,instinct [ˈɪn.stɪŋkt]
ironie,irony [ˈaɪ.rə.ni]
justiční,judiciary [dʒuːˈdɪ.ʃi.er.i]
legie,legion [ˈliː.dʒən]
smrtící,lethal [ˈliː.θəl]
vápno,lime [laɪm]
živý,lively [ˈlaɪv.li]
služka,maid [meɪd]
javor,maple [ˈmeɪ.pəl]
paní,mistress [ˈmɪs.trəs]
morálka,morality [məˈræl.ə.t̬i]
smrtelný,mortal [ˈmɔːr.t̬əl]
nezisková organizace,nonprofit [nɑnˈprɑf·ɪt]
operativní,operative [ˈɑː.pɚ.ə.t̬ɪv]
Panama,panama [ˈpæn.ə.mɑː]
vyzvednutí,pickup [ˈpɪk.ʌp]
prestižní,prestigious [presˈtɪdʒ.əs]
poloměr,radius [ˈreɪ.di.əs]
rozhodčí,referee [ˌref.əˈriː]
relé,relay [ˌrɪˈleɪ]
souprava,rig [rɪɡ]
svitek,scroll [skroʊl]
Sh,sh [ʃː]
svrchovanost,sovereignty [ˈsɑːv.rən.i]
zakrnět,stunt [stʌnt]
sluneční světlo,sunlight [ˈsʌn.laɪt]
surfovat,surf [sɝːf]
symbolický,symbolic [sɪmˈbɑː.lɪk]
synchronizace,sync [sɪŋk]
poplatník,taxpayer [ˈtæksˌpeɪ.ɚ]
pokoušet,tempt [tempt]
tah,thrust [θrʌst]
trilogie,trilogy [ˈtrɪl.ə.dʒi]
děvka,whore [hɔːr]
obvinění,accusation [ˌæk.jəˈzeɪ.ʃən]
Příspěvek,allowance [əˈlaʊ.əns]
libovolný,arbitrary [ˈɑːr.bə.trer.i]
autonomní,autonomous [ɑːˈtɑː.nə.məs]
návnada,bait [beɪt]
kůra,bark [bɑːrk]
podprsenka,bra [brɑː]
bratrství,brotherhood [ˈbrʌð.ɚ.hʊd]
stavitel,builder [ˈbɪl.dɚ]
kočár,carriage [ˈker.ɪdʒ]
cenzura,censorship [ˈsen.sɚ.ʃɪp]
vyjasnit,clarify [ˈkler.ə.faɪ]
sestavení,compilation [ˌkɑːm.pəˈleɪ.ʃən]
skladatel,composer [kəmˈpoʊ.zɚ]
představovat,constitute [ˈkɑːn.stə.tuːt]
korespondence,correspondence [ˌkɔːr.əˈspɑːn.dəns]
žádoucí,desirable [dɪˈzaɪr.ə.bəl]
zničující,devastating [ˈdev.ə.steɪ.t̬ɪŋ]
diagram,diagram [ˈdaɪ.ə.ɡræm]
postavit,erect [ɪˈrekt]
badatel,explorer [ɪkˈsplɔːr.ɚ]
příznivý,favorable [ˈfeɪ.vər.ə.bəl]
feminismus,feminism [ˈfem.ə.nɪ.zəm]
vada,flaw [flɑː]
benzín,gasoline [ˈɡæs.əl.iːn]
Genesis,genesis [ˈdʒen.ə.sɪs]
geografický,geographical [ˌdʒi.əˈɡræf.ɪ.kəl]
vládní,governmental [ˌɡʌv.ɚnˈmen.t̬əl]
vnuk,grandson [ˈɡræn.sʌn]
neúplný,incomplete [ˌɪn.kəmˈpliːt]
